Id2,Geography,total.pop,under_five,pop_over25,hs_less25,respop_1year,respop_diffhouse,diff_county,diff_state,respop_abroad,foreignborn_pop,fb_notcitizen,enter2010later,enter00_2009,enterb4_2009,pop_5yolder,non_espeaker,limited_eprof,pop_16over,not_labor,HH_rent,"tot_HH
",HH_comp,HH_internet
1,Alabama,4863300,5.9,3300713,14.9,4810126,13.6,5.6,2.5,0.3,163629,104018,23.5,36.9,39.5,4576657,5.1,2.1,3897741,42.7,31.5,1852518,83.9,74.7
2,Alaska,741894,7.1,478951,6.9,731760,17.9,7.2,4.3,0.9,57364,24592,24.1,24.8,51.1,689399,16.5,5.3,575088,29.8,35.5,248468,93.9,85.7
4,Arizona,6931071,6.3,4626409,13.3,6851836,17.7,5.8,4,0.8,934883,535847,16.5,24.7,58.8,6494749,27.1,8.8,5483490,40.6,36.8,2519052,90.8,83.1
5,Arkansas,2988248,6.3,1990448,14,2949650,15.5,6.1,2.4,0.3,138592,94308,22,28.6,49.4,2799532,7.3,3.1,2358465,42.5,35.4,1142718,84.6,70.9
6,California,39250017,6.3,26304241,17.6,38783436,12.5,4.1,1.3,0.9,10677663,5308155,13.6,23,63.4,36767595,44.6,18.6,31191530,36.7,46.4,12944178,92.2,85.4
8,Colorado,5540545,6,3745506,8.6,5476928,17.9,9.1,4.1,0.6,544733,328738,19,29,51.9,5205474,17.1,6.1,4417829,32,35.2,2108992,93.6,86.9
9,Connecticut,3576452,5.2,2467737,9.5,3541758,11.3,4,2.1,0.7,514050,243777,19.2,26,54.8,3391423,22.7,7.9,2919678,33.4,35.2,1357269,89.3,84.1
10,Delaware,952065,5.8,662547,10.7,942073,12.6,4.4,3.5,0.6,89391,45308,22.3,31.8,46,896824,12.9,4.6,771059,38.6,30.2,351085,90.7,83.3
11,District of Columbia,681170,6.4,480158,9.5,672022,18.2,8.7,8.7,1.7,90631,50628,25.6,31.5,43,637624,17.1,6.1,569932,30.7,60.8,281241,89.9,79.8
12,Florida,20612439,5.4,14703671,12.6,20401575,14.7,6,3,1.1,4236511,1901686,20.7,26.5,52.8,19494972,28.8,12,16950176,41.8,35.9,7573456,90.1,81.2
13,Georgia,10310371,6.4,6785395,13.6,10179860,15.7,7.9,3,0.7,1038312,611220,20.8,32.4,46.8,9655493,14,5.7,8085411,37.1,38.5,3686135,89.5,80.7
15,Hawaii,1428557,6.4,990937,8,1410258,12.4,4.6,4.1,1.2,262485,113088,18.6,22.9,58.5,1337835,26.5,12.2,1152321,34.3,42.8,455868,91.1,83.2
16,Idaho,1683140,6.8,1087265,9.6,1663756,17.2,7.8,4.3,0.5,97953,60054,19.4,29.9,50.8,1568997,10.8,4.2,1296599,38,31.5,610872,89.7,79.4
